MCSID,APNUM00,AXLOIL00,AXLOLM00,AXACQU00,AXVCQU00,,,,,,,,,,,,,
M10022T,2,2,-1,6,96,,,,,,,,,,,,,
M10073E,2,2,-1,6,95,,,,,,,,,,,,,
M10128C,2,2,-1,95,4,,,,,,,,,,,,,
M10216B,2,2,-1,5,96,,,,,,,,,,,,,
M10818X,2,2,-1,-8,-8,,,,,,,,,,,,,
M10980G,2,2,-1,5,96,,,,,,,,,,,,,
M11162J,2,2,-1,5,95,,,,,,,,,,,,,
M11270M,2,2,-1,96,4,,,,,,,,,,,,,
M11625U,2,2,-1,6,96,,,,,,,,,,,,,
M11637Y,2,1,2,2,96,,,,,,,,,,,,,
M11767H,2,1,2,96,96,,,,,,,,,,,,,
M11778L,2,2,-1,5,95,,,,,,,,,,,,,
M11888R,2,2,-1,96,96,,,,,,,,,,,,,
M12038K,2,1,2,1,1,,,,,,,,,,,,,
M12113D,2,1,1,6,96,,,,,,,,,,,,,
M12114E,2,1,1,6,4,,,,,,,,,,,,,
M12136L,2,2,-1,96,96,,,,,,,,,,,,,
M12241L,2,2,-1,1,1,,,,,,,,,,,,,
M12295A,2,2,-1,2,1,,,,,,,,,,,,,
M12304J,3,2,-1,96,96,,,,,,,,,,,,,
M12314L,2,2,-1,1,96,,,,,,,,,,,,,
M12377B,2,1,2,5,2,,,,,,,,,,,,,
M12442T,2,2,-1,5,96,,,,,,,,,,,,,
M12499L,2,1,1,5,5,,,,,,,,,,,,,
M12608X,2,2,-1,96,96,,,,,,,,,,,,,
M12910A,2,2,-1,5,3,,,,,,,,,,,,,
M13049S,2,2,-1,96,6,,,,,,,,,,,,,
M13071Q,2,2,-1,6,96,,,,,,,,,,,,,
M13158W,2,2,-1,96,4,,,,,,,,,,,,,
M13228T,2,2,-1,96,96,,,,,,,,,,,,,
M13341T,2,2,-1,5,3,,,,,,,,,,,,,
M13640B,2,2,-1,96,96,,,,,,,,,,,,,
M13877W,2,2,-1,4,96,,,,,,,,,,,,,
M14116Q,3,1,1,96,96,,,,,,,,,,,,,
M14394L,2,2,-1,95,96,,,,,,,,,,,,,
M14565M,2,1,1,96,96,,,,,,,,,,,,,
M14590N,3,2,-1,-8,-8,,,,,,,,,,,,,
M14624F,2,2,-1,96,5,,,,,,,,,,,,,
M14666R,2,2,-1,4,96,,,,,,,,,,,,,
M14740J,2,2,-1,3,1,,,,,,,,,,,,,
M14866X,2,2,-1,2,1,,,,,,,,,,,,,
M14872V,2,1,1,-8,-8,,,,,,,,,,,,,
M14875Y,2,2,-1,-8,-8,,,,,,,,,,,,,
M15031Q,4,1,1,96,96,,,,,,,,,,,,,
M15052V,2,2,-1,5,-8,,,,,,,,,,,,,
M15070X,2,2,-1,5,4,,,,,,,,,,,,,
M15120Q,2,2,-1,96,4,,,,,,,,,,,,,
M15633L,2,2,-1,96,96,,,,,,,,,,,,,
M15885E,2,2,-1,96,95,,,,,,,,,,,,,
M16041W,2,2,-1,4,2,,,,,,,,,,,,,
M16170E,2,2,-1,-8,-8,,,,,,,,,,,,,
M16450K,2,2,-1,5,4,,,,,,,,,,,,,
M16664X,2,2,-1,3,95,,,,,,,,,,,,,
M16666Z,2,2,-1,96,96,,,,,,,,,,,,,
M16697G,2,1,1,96,96,,,,,,,,,,,,,
M16709T,3,1,2,6,6,,,,,,,,,,,,,
M16778G,2,1,2,96,-8,,,,,,,,,,,,,
M16965H,2,1,1,96,96,,,,,,,,,,,,,
M16995P,2,1,1,96,5,,,,,,,,,,,,,
M17032Z,2,2,-1,5,-8,,,,,,,,,,,,,
M17142E,2,2,-1,95,96,,,,,,,,,,,,,
M17154J,2,1,2,5,4,,,,,,,,,,,,,
M17377X,2,2,-1,5,3,,,,,,,,,,,,,
M17508Q,2,1,1,5,95,,,,,,,,,,,,,
M17602M,2,1,2,96,95,,,,,,,,,,,,,
M17669G,2,1,1,2,96,,,,,,,,,,,,,
M17684F,3,2,-1,96,96,,,,,,,,,,,,,
M17732W,2,2,-1,2,96,,,,,,,,,,,,,
M17771D,4,2,-1,96,96,,,,,,,,,,,,,
M17825A,2,2,-1,96,4,,,,,,,,,,,,,
M17892M,2,2,-1,5,3,,,,,,,,,,,,,
M18076R,2,2,-1,96,96,,,,,,,,,,,,,
M18139P,2,2,-1,5,95,,,,,,,,,,,,,
M18224K,2,2,-1,3,2,,,,,,,,,,,,,
M18308N,2,1,2,5,95,,,,,,,,,,,,,
M18399H,3,2,-1,96,96,,,,,,,,,,,,,
M18503P,2,2,-1,1,96,,,,,,,,,,,,,
M18504Q,3,2,-1,96,96,,,,,,,,,,,,,
M18602R,2,2,-1,1,96,,,,,,,,,,,,,
M18711V,2,2,-1,5,4,,,,,,,,,,,,,
M18847L,2,2,-1,6,96,,,,,,,,,,,,,
M18969V,4,2,-1,6,3,,,,,,,,,,,,,
M18997Z,2,2,-1,2,96,,,,,,,,,,,,,
M19063Q,2,2,-1,2,1,,,,,,,,,,,,,
M19134N,2,1,2,5,4,,,,,,,,,,,,,
M19164U,2,2,-1,2,1,,,,,,,,,,,,,
M19248X,2,1,1,5,96,,,,,,,,,,,,,
M19338Y,3,2,-1,2,1,,,,,,,,,,,,,
M19346Y,2,1,1,96,96,,,,,,,,,,,,,
M19505V,2,2,-1,96,96,,,,,,,,,,,,,
M19803C,2,2,-1,5,4,,,,,,,,,,,,,
M19827L,2,2,-1,6,-8,,,,,,,,,,,,,
M20020W,3,2,-1,2,96,,,,,,,,,,,,,
M20034C,2,2,-1,96,96,,,,,,,,,,,,,
M20190P,2,2,-1,-9,-9,,,,,,,,,,,,,
M20340K,2,2,-1,4,96,,,,,,,,,,,,,
M20949N,2,2,-1,96,96,,,,,,,,,,,,,
M20984R,2,2,-1,5,95,,,,,,,,,,,,,
M21050G,2,2,-1,5,4,,,,,,,,,,,,,
M21275X,2,2,-1,5,96,,,,,,,,,,,,,
M21489K,2,2,-1,96,96,,,,,,,,,,,,,
M21592H,4,2,-1,96,96,,,,,,,,,,,,,
M21641Z,3,2,-1,5,4,,,,,,,,,,,,,
M21847M,4,2,-1,96,4,,,,,,,,,,,,,
M21886U,2,1,1,96,96,,,,,,,,,,,,,
M21959U,2,2,-1,4,5,,,,,,,,,,,,,
M21967U,2,2,-1,96,96,,,,,,,,,,,,,
M22069X,2,2,-1,4,4,,,,,,,,,,,,,
M22212L,2,2,-1,2,96,,,,,,,,,,,,,
M22348B,2,2,-1,96,3,,,,,,,,,,,,,
M22360X,3,2,-1,5,3,,,,,,,,,,,,,
M22409X,2,2,-1,96,96,,,,,,,,,,,,,
M22593N,2,2,-1,5,3,,,,,,,,,,,,,
M22751J,2,2,-1,4,96,,,,,,,,,,,,,
M22771N,2,2,-1,96,95,,,,,,,,,,,,,
M22883V,2,2,-1,-8,-8,,,,,,,,,,,,,
M23199L,2,2,-1,96,4,,,,,,,,,,,,,
M23394M,2,1,2,2,1,,,,,,,,,,,,,
M23489T,2,2,-1,1,1,,,,,,,,,,,,,
M23499V,2,2,-1,6,96,,,,,,,,,,,,,
M23687X,4,2,-1,96,96,,,,,,,,,,,,,
M23737Q,2,1,2,5,95,,,,,,,,,,,,,
M23926T,2,2,-1,2,1,,,,,,,,,,,,,
M24253D,2,2,-1,5,3,,,,,,,,,,,,,
M24372K,2,2,-1,6,96,,,,,,,,,,,,,
M24438L,2,2,-1,95,96,,,,,,,,,,,,,
M24574T,2,2,-1,2,96,,,,,,,,,,,,,
M24729U,4,2,-1,2,1,,,,,,,,,,,,,
M24800J,2,2,-1,5,4,,,,,,,,,,,,,
M24874C,2,1,1,5,4,,,,,,,,,,,,,
M24881B,2,2,-1,2,1,,,,,,,,,,,,,
M24947C,2,2,-1,2,1,,,,,,,,,,,,,
M24993J,2,1,1,5,96,,,,,,,,,,,,,
M25089P,2,2,-1,5,96,,,,,,,,,,,,,
M25122X,2,2,-1,3,3,,,,,,,,,,,,,
M25243F,2,1,1,96,96,,,,,,,,,,,,,
M25255K,2,2,-1,6,96,,,,,,,,,,,,,
M25467V,2,2,-1,95,95,,,,,,,,,,,,,
M25543Q,2,2,-1,5,3,,,,,,,,,,,,,
M25621M,2,2,-1,96,96,,,,,,,,,,,,,
M25713Q,2,1,1,96,96,,,,,,,,,,,,,
M25793G,2,2,-1,96,96,,,,,,,,,,,,,
M25961E,2,2,-1,96,96,,,,,,,,,,,,,
M26016A,2,1,1,5,4,,,,,,,,,,,,,
M26337Q,2,2,-1,2,1,,,,,,,,,,,,,
M26406L,2,1,2,96,4,,,,,,,,,,,,,
M26478C,2,2,-1,95,96,,,,,,,,,,,,,
M26538X,2,2,-1,6,95,,,,,,,,,,,,,
M26564Z,2,2,-1,96,96,,,,,,,,,,,,,
M26582B,2,2,-1,96,3,,,,,,,,,,,,,
M26608U,2,2,-1,95,96,,,,,,,,,,,,,
M27057P,2,2,-1,6,96,,,,,,,,,,,,,
M27128M,2,2,-1,96,96,,,,,,,,,,,,,
M27150K,2,2,-1,5,4,,,,,,,,,,,,,
M27157S,2,2,-1,3,3,,,,,,,,,,,,,
M27356X,2,2,-1,4,96,,,,,,,,,,,,,
M27611T,2,2,-1,96,96,,,,,,,,,,,,,
M27717C,3,2,-1,96,96,,,,,,,,,,,,,
M27848N,2,2,-1,96,96,,,,,,,,,,,,,
M27974T,2,2,-1,96,96,,,,,,,,,,,,,
M28075V,3,2,-1,95,-8,,,,,,,,,,,,,
M28208Q,2,2,-1,1,1,,,,,,,,,,,,,
M28318V,2,2,-1,96,96,,,,,,,,,,,,,
M28328X,2,2,-1,2,2,,,,,,,,,,,,,
M28471D,2,2,-1,4,95,,,,,,,,,,,,,
M28611X,2,2,-1,5,96,,,,,,,,,,,,,
M28652G,2,2,-1,2,1,,,,,,,,,,,,,
M28653H,6,2,-1,95,96,,,,,,,,,,,,,
M28922K,4,2,-1,5,96,,,,,,,,,,,,,
M29073X,2,1,1,96,96,,,,,,,,,,,,,
M29077B,2,2,-1,96,96,,,,,,,,,,,,,
M29165A,2,2,-1,5,4,,,,,,,,,,,,,
M29193E,4,2,-1,-8,-8,,,,,,,,,,,,,
M29383J,2,2,-1,5,4,,,,,,,,,,,,,
M29473K,2,2,-1,5,3,,,,,,,,,,,,,
M29610A,2,2,-1,5,3,,,,,,,,,,,,,
M30134L,2,2,-1,96,96,,,,,,,,,,,,,
M30191V,2,2,-1,96,96,,,,,,,,,,,,,
M30263U,3,1,2,96,96,,,,,,,,,,,,,
M30302J,2,2,-1,96,96,,,,,,,,,,,,,
M30736G,2,1,1,5,3,,,,,,,,,,,,,
M30815E,2,2,-1,96,96,,,,,,,,,,,,,
M31171V,2,1,2,5,-8,,,,,,,,,,,,,
M31239Y,2,1,2,2,96,,,,,,,,,,,,,
M31299L,2,2,-1,5,95,,,,,,,,,,,,,
M31431W,7,2,-1,96,96,,,,,,,,,,,,,
M31557K,2,2,-1,2,96,,,,,,,,,,,,,
M31905K,2,2,-1,5,4,,,,,,,,,,,,,
M31988E,2,1,1,96,96,,,,,,,,,,,,,
M32052T,2,2,-1,1,96,,,,,,,,,,,,,
M32156A,2,1,1,6,96,,,,,,,,,,,,,
M32252Z,2,2,-1,2,2,,,,,,,,,,,,,
M32355F,2,1,1,6,3,,,,,,,,,,,,,
M32416B,2,1,1,96,96,,,,,,,,,,,,,
M32548N,2,2,-1,96,4,,,,,,,,,,,,,
M32699C,2,2,-1,96,96,,,,,,,,,,,,,
M33278P,2,2,-1,5,95,,,,,,,,,,,,,
M33303X,2,2,-1,-8,-8,,,,,,,,,,,,,
M33551M,2,2,-1,1,1,,,,,,,,,,,,,
M34292R,2,1,2,5,4,,,,,,,,,,,,,
M34382S,2,2,-1,4,4,,,,,,,,,,,,,
M34595D,2,2,-1,96,96,,,,,,,,,,,,,
M34642T,7,1,2,4,96,,,,,,,,,,,,,
M34721R,2,1,1,96,96,,,,,,,,,,,,,
M35083N,2,2,-1,2,1,,,,,,,,,,,,,
M35092P,2,2,-1,4,1,,,,,,,,,,,,,
M35248R,2,2,-1,96,96,,,,,,,,,,,,,
M35295Y,2,2,-1,4,96,,,,,,,,,,,,,
M35373V,5,2,-1,96,96,,,,,,,,,,,,,
M35426R,2,2,-1,96,96,,,,,,,,,,,,,
M35439W,2,1,1,96,96,,,,,,,,,,,,,
M35480X,2,2,-1,6,96,,,,,,,,,,,,,
M35738E,2,2,-1,5,5,,,,,,,,,,,,,
M35742A,2,2,-1,5,4,,,,,,,,,,,,,
M35746E,2,2,-1,5,96,,,,,,,,,,,,,
M35804X,2,2,-1,5,96,,,,,,,,,,,,,